sender,time_ms,type
10016,34.800000000000004,inhibitory
20,34.9,excitatory
50,34.9,excitatory
10040,34.9,inhibitory
68,35.1,excitatory
10097,40.2,inhibitory
10,40.4,excitatory
22,40.5,excitatory
95,40.7,excitatory
10010,41.0,inhibitory
10068,41.1,inhibitory
100,41.2,excitatory
47,41.2,excitatory
10050,41.300000000000004,inhibitory
63,41.300000000000004,excitatory
10079,41.6,inhibitory
56,41.7,excitatory
10043,41.800000000000004,inhibitory
10002,41.9,inhibitory
46,42.0,excitatory
10052,42.0,inhibitory
10086,42.2,inhibitory
41,42.2,excitatory
10013,42.2,inhibitory
57,42.300000000000004,excitatory
92,42.300000000000004,excitatory
10005,42.4,inhibitory
10046,42.4,inhibitory
74,42.5,excitatory
10022,42.6,inhibitory
5,42.6,excitatory
71,42.7,excitatory
85,42.9,excitatory
9,42.9,excitatory
10055,42.9,inhibitory
76,43.0,excitatory
66,43.0,excitatory
60,43.0,excitatory
10084,43.0,inhibitory
29,43.1,excitatory
10073,43.1,inhibitory
21,43.1,excitatory
10056,43.1,inhibitory
7,43.2,excitatory
10014,43.2,inhibitory
68,43.2,excitatory
10036,43.4,inhibitory
11,43.4,excitatory
28,43.5,excitatory
10038,43.5,inhibitory
75,43.6,excitatory
98,43.6,excitatory
31,43.7,excitatory
13,43.9,excitatory
54,43.9,excitatory
42,43.9,excitatory
10069,44.0,inhibitory
10081,44.0,inhibitory
24,44.1,excitatory
10100,44.1,inhibitory
10003,44.1,inhibitory
10094,44.2,inhibitory
10066,44.300000000000004,inhibitory
90,44.4,excitatory
10041,44.4,inhibitory
30,44.6,excitatory
79,44.6,excitatory
83,44.6,excitatory
10089,44.7,inhibitory
70,44.7,excitatory
69,44.7,excitatory
25,44.800000000000004,excitatory
10092,44.9,inhibitory
10099,44.9,inhibitory
88,45.1,excitatory
81,45.1,excitatory
10067,45.1,inhibitory
93,45.1,excitatory
10078,45.1,inhibitory
10004,45.6,inhibitory
77,45.7,excitatory
15,46.0,excitatory
41,46.4,excitatory
10028,46.4,inhibitory
82,47.5,excitatory
10075,47.5,inhibitory
16,48.1,excitatory
10082,48.1,inhibitory
10039,48.2,inhibitory
51,48.5,excitatory
49,48.6,excitatory
89,48.6,excitatory
10045,48.800000000000004,inhibitory
20,48.800000000000004,excitatory
67,49.4,excitatory
8,49.6,excitatory
10008,49.7,inhibitory
84,50.0,excitatory
73,50.300000000000004,excitatory
10077,50.5,inhibitory
10091,50.6,inhibitory
52,50.7,excitatory
10080,50.7,inhibitory
72,50.800000000000004,excitatory
43,51.4,excitatory
10024,51.4,inhibitory
26,51.5,excitatory
4,51.7,excitatory
65,51.800000000000004,excitatory
10088,52.1,inhibitory
94,52.2,excitatory
14,52.5,excitatory
50,52.6,excitatory
47,52.6,excitatory
87,52.6,excitatory
6,52.9,excitatory
10096,53.0,inhibitory
53,53.0,excitatory
36,53.0,excitatory
10019,53.1,inhibitory
70,53.1,excitatory
10011,53.2,inhibitory
35,53.2,excitatory
10087,53.300000000000004,inhibitory
10014,53.4,inhibitory
10033,53.4,inhibitory
63,53.5,excitatory
10059,53.5,inhibitory
1,53.5,excitatory
48,53.5,excitatory
10013,53.7,inhibitory
10052,53.7,inhibitory
64,53.7,excitatory
95,53.800000000000004,excitatory
10035,53.9,inhibitory
10022,54.0,inhibitory
10063,54.0,inhibitory
100,54.5,excitatory
61,54.5,excitatory
22,54.7,excitatory
10007,54.7,inhibitory
28,54.7,excitatory
10,54.800000000000004,excitatory
11,54.9,excitatory
10061,54.9,inhibitory
10034,54.9,inhibitory
10065,55.0,inhibitory
7,55.300000000000004,excitatory
10057,55.300000000000004,inhibitory
2,55.4,excitatory
10046,55.5,inhibitory
91,55.9,excitatory
10074,56.300000000000004,inhibitory
10027,56.5,inhibitory
10062,57.0,inhibitory
10009,57.0,inhibitory
10023,57.800000000000004,inhibitory
10039,57.800000000000004,inhibitory
78,57.800000000000004,excitatory
10016,57.800000000000004,inhibitory
37,57.9,excitatory
44,58.0,excitatory
10015,58.1,inhibitory
10020,58.5,inhibitory
10002,58.5,inhibitory
99,59.1,excitatory
40,59.5,excitatory
10050,60.5,inhibitory
27,60.6,excitatory
10013,60.6,inhibitory
20,60.7,excitatory
60,60.7,excitatory
29,60.9,excitatory
86,60.9,excitatory
10085,61.0,inhibitory
68,61.1,excitatory
82,61.300000000000004,excitatory
10049,61.4,inhibitory
81,61.4,excitatory
58,61.5,excitatory
10006,61.6,inhibitory
10083,61.7,inhibitory
21,61.800000000000004,excitatory
10094,61.800000000000004,inhibitory
10021,61.800000000000004,inhibitory
89,62.0,excitatory
59,62.0,excitatory
3,62.0,excitatory
10067,62.1,inhibitory
10032,62.300000000000004,inhibitory
83,62.5,excitatory
10038,62.6,inhibitory
85,62.9,excitatory
16,63.2,excitatory
10042,63.300000000000004,inhibitory
97,63.4,excitatory
74,63.4,excitatory
80,63.4,excitatory
10036,63.6,inhibitory
30,63.7,excitatory
10040,64.0,inhibitory
10064,64.0,inhibitory
10063,64.1,inhibitory
10082,64.4,inhibitory
10052,64.5,inhibitory
10017,64.9,inhibitory
12,65.8,excitatory
10081,65.9,inhibitory
10018,66.0,inhibitory
17,66.2,excitatory
10059,66.2,inhibitory
62,66.2,excitatory
8,66.4,excitatory
19,66.6,excitatory
10004,66.7,inhibitory
73,66.7,excitatory
10003,66.9,inhibitory
10088,66.9,inhibitory
33,67.0,excitatory
55,67.1,excitatory
91,67.1,excitatory
10069,67.1,inhibitory
10051,67.2,inhibitory
10080,67.3,inhibitory
67,67.3,excitatory
46,67.3,excitatory
10072,67.3,inhibitory
35,67.5,excitatory
77,67.9,excitatory
57,68.0,excitatory
69,68.0,excitatory
72,68.3,excitatory
10011,68.5,inhibitory
38,68.5,excitatory
10054,68.5,inhibitory
14,68.5,excitatory
10093,68.7,inhibitory
10012,68.8,inhibitory
10005,68.8,inhibitory
4,68.8,excitatory
10066,68.8,inhibitory
32,69.0,excitatory
10084,69.0,inhibitory
10045,69.10000000000001,inhibitory
15,69.10000000000001,excitatory
100,69.2,excitatory
10095,69.2,inhibitory
71,69.5,excitatory
10053,69.7,inhibitory
25,69.8,excitatory
10033,69.9,inhibitory
10061,69.9,inhibitory
10010,69.9,inhibitory
10071,70.0,inhibitory
10055,70.2,inhibitory
10086,70.3,inhibitory
10090,70.5,inhibitory
10031,70.60000000000001,inhibitory
53,70.60000000000001,excitatory
42,70.8,excitatory
10047,70.8,inhibitory
10058,71.10000000000001,inhibitory
10078,71.2,inhibitory
64,71.2,excitatory
56,72.0,excitatory
79,72.10000000000001,excitatory
10077,72.2,inhibitory
10016,72.8,inhibitory
10046,72.9,inhibitory
28,72.9,excitatory
10100,72.9,inhibitory
10079,73.10000000000001,inhibitory
10043,73.2,inhibitory
17,73.4,excitatory
41,73.5,excitatory
10070,73.60000000000001,inhibitory
10060,73.7,inhibitory
51,73.9,excitatory
10057,75.10000000000001,inhibitory
43,75.2,excitatory
10091,75.5,inhibitory
24,75.5,excitatory
47,75.60000000000001,excitatory
7,75.8,excitatory
10035,75.8,inhibitory
10025,76.0,inhibitory
10072,76.10000000000001,inhibitory
10049,76.10000000000001,inhibitory
39,76.4,excitatory
76,76.60000000000001,excitatory
10068,76.60000000000001,inhibitory
10022,76.7,inhibitory
10026,76.7,inhibitory
10073,76.7,inhibitory
66,76.8,excitatory
5,76.8,excitatory
61,76.9,excitatory
10041,76.9,inhibitory
10029,76.9,inhibitory
10044,76.9,inhibitory
11,77.0,excitatory
10099,77.10000000000001,inhibitory
10056,77.10000000000001,inhibitory
18,77.2,excitatory
10065,77.3,inhibitory
10007,77.3,inhibitory
78,77.4,excitatory
10097,77.5,inhibitory
10050,77.60000000000001,inhibitory
22,77.7,excitatory
97,77.7,excitatory
54,77.8,excitatory
90,78.0,excitatory
10030,78.10000000000001,inhibitory
10039,78.10000000000001,inhibitory
10062,78.10000000000001,inhibitory
31,78.2,excitatory
10087,78.3,inhibitory
10092,78.60000000000001,inhibitory
94,78.60000000000001,excitatory
83,78.7,excitatory
16,78.9,excitatory
52,79.0,excitatory
26,79.8,excitatory
10006,80.10000000000001,inhibitory
10094,80.60000000000001,inhibitory
45,80.60000000000001,excitatory
19,81.4,excitatory
74,81.60000000000001,excitatory
8,81.60000000000001,excitatory
50,81.7,excitatory
10061,81.9,inhibitory
51,82.0,excitatory
10034,82.10000000000001,inhibitory
10098,82.2,inhibitory
34,82.3,excitatory
10048,82.4,inhibitory
96,82.5,excitatory
10069,82.7,inhibitory
10036,82.8,inhibitory
89,83.0,excitatory
88,83.0,excitatory
58,83.0,excitatory
10021,83.10000000000001,inhibitory
63,83.2,excitatory
10037,83.2,inhibitory
35,83.2,excitatory
65,83.4,excitatory
29,83.4,excitatory
92,83.60000000000001,excitatory
10076,83.8,inhibitory
15,83.8,excitatory
23,83.8,excitatory
30,83.8,excitatory
4,83.9,excitatory
10046,83.9,inhibitory
10062,83.9,inhibitory
10075,84.2,inhibitory
95,84.5,excitatory
10067,84.60000000000001,inhibitory
36,84.7,excitatory
10053,84.8,inhibitory
10032,85.0,inhibitory
10015,85.0,inhibitory
44,85.10000000000001,excitatory
10016,85.10000000000001,inhibitory
17,85.10000000000001,excitatory
12,85.10000000000001,excitatory
38,85.4,excitatory
73,85.4,excitatory
60,85.5,excitatory
10040,85.5,inhibitory
10019,85.60000000000001,inhibitory
84,86.0,excitatory
67,86.60000000000001,excitatory
75,87.0,excitatory
49,88.2,excitatory
10085,88.60000000000001,inhibitory
10003,89.3,inhibitory
32,89.5,excitatory
10039,89.60000000000001,inhibitory
10083,89.60000000000001,inhibitory
10,89.60000000000001,excitatory
93,89.7,excitatory
10002,89.7,inhibitory
10044,89.8,inhibitory
10080,89.9,inhibitory
46,90.0,excitatory
3,90.10000000000001,excitatory
10074,90.2,inhibitory
10060,90.4,inhibitory
27,90.60000000000001,excitatory
10028,90.7,inhibitory
10084,90.9,inhibitory
10096,90.9,inhibitory
69,90.9,excitatory
86,91.0,excitatory
68,91.10000000000001,excitatory
1,91.10000000000001,excitatory
20,91.10000000000001,excitatory
10013,91.10000000000001,inhibitory
99,91.10000000000001,excitatory
10027,91.3,inhibitory
91,91.5,excitatory
10042,91.5,inhibitory
10070,91.60000000000001,inhibitory
10078,91.7,inhibitory
10064,92.0,inhibitory
10014,92.10000000000001,inhibitory
87,92.4,excitatory
10018,92.7,inhibitory
31,92.8,excitatory
26,92.9,excitatory
37,93.0,excitatory
10041,93.0,inhibitory
62,93.10000000000001,excitatory
10001,93.3,inhibitory
2,93.9,excitatory
97,94.10000000000001,excitatory
18,94.10000000000001,excitatory
40,94.3,excitatory
42,94.4,excitatory
10012,95.0,inhibitory
6,95.60000000000001,excitatory
41,96.0,excitatory
10099,96.10000000000001,inhibitory
33,96.8,excitatory
10009,96.8,inhibitory
50,97.10000000000001,excitatory
49,97.10000000000001,excitatory
10035,97.10000000000001,inhibitory
70,97.2,excitatory
90,97.2,excitatory
10055,97.2,inhibitory
10008,97.2,inhibitory
21,97.5,excitatory
10037,97.60000000000001,inhibitory
14,97.60000000000001,excitatory
10077,97.8,inhibitory
10098,97.8,inhibitory
52,98.60000000000001,excitatory
10016,99.3,inhibitory
23,99.4,excitatory
83,99.60000000000001,excitatory
7,99.8,excitatory
79,99.9,excitatory
10067,99.9,inhibitory
10062,99.9,inhibitory
10092,100.10000000000001,inhibitory
10063,100.10000000000001,inhibitory
10066,100.10000000000001,inhibitory
10024,100.3,inhibitory
10100,100.3,inhibitory
76,100.3,excitatory
56,100.60000000000001,excitatory
10034,100.60000000000001,inhibitory
55,100.8,excitatory
10054,101.2,inhibitory
35,101.2,excitatory
28,101.2,excitatory
10072,101.2,inhibitory
10022,101.5,inhibitory
10091,101.7,inhibitory
10095,102.10000000000001,inhibitory
45,102.10000000000001,excitatory
10047,102.10000000000001,inhibitory
10050,102.2,inhibitory
10065,102.2,inhibitory
13,102.2,excitatory
77,102.3,excitatory
39,102.3,excitatory
10043,102.3,inhibitory
38,102.5,excitatory
10031,102.60000000000001,inhibitory
84,102.7,excitatory
44,102.7,excitatory
10079,102.8,inhibitory
10090,102.8,inhibitory
10026,102.8,inhibitory
100,102.9,excitatory
82,103.0,excitatory
10073,103.3,inhibitory
10048,103.5,inhibitory
34,103.5,excitatory
10070,103.5,inhibitory
47,103.60000000000001,excitatory
10005,103.7,inhibitory
24,103.8,excitatory
10061,104.10000000000001,inhibitory
10096,104.10000000000001,inhibitory
10057,104.2,inhibitory
10023,104.3,inhibitory
9,104.4,excitatory
10083,104.4,inhibitory
10089,104.4,inhibitory
10068,104.4,inhibitory
48,104.8,excitatory
27,105.0,excitatory
10001,105.10000000000001,inhibitory
10084,105.3,inhibitory
10059,105.3,inhibitory
86,105.5,excitatory
10088,105.60000000000001,inhibitory
10046,105.60000000000001,inhibitory
73,105.60000000000001,excitatory
10010,105.7,inhibitory
10081,105.8,inhibitory
10019,105.8,inhibitory
74,106.3,excitatory
94,106.4,excitatory
96,106.4,excitatory
57,106.8,excitatory
10021,106.8,inhibitory
10032,107.0,inhibitory
81,107.10000000000001,excitatory
30,107.4,excitatory
10045,107.4,inhibitory
46,107.7,excitatory
80,107.8,excitatory
2,108.2,excitatory
5,108.2,excitatory
10051,108.4,inhibitory
10018,108.4,inhibitory
8,108.60000000000001,excitatory
59,109.10000000000001,excitatory
10039,109.2,inhibitory
10085,109.5,inhibitory
10097,109.5,inhibitory
10036,109.5,inhibitory
52,109.8,excitatory
88,110.4,excitatory
10052,110.5,inhibitory
10056,110.8,inhibitory
87,110.8,excitatory
10080,110.9,inhibitory
89,111.7,excitatory
10075,111.7,inhibitory
10029,111.9,inhibitory
10087,112.0,inhibitory
10025,112.0,inhibitory
10089,112.2,inhibitory
64,112.2,excitatory
4,112.3,excitatory
63,112.3,excitatory
10077,112.3,inhibitory
10034,112.60000000000001,inhibitory
95,112.7,excitatory
10004,112.7,inhibitory
17,112.8,excitatory
10047,112.8,inhibitory
74,112.9,excitatory
10009,113.0,inhibitory
49,113.4,excitatory
10024,113.5,inhibitory
10079,113.5,inhibitory
10093,113.60000000000001,inhibitory
10027,113.60000000000001,inhibitory
10049,113.60000000000001,inhibitory
10076,113.7,inhibitory
36,113.7,excitatory
10069,113.7,inhibitory
65,113.8,excitatory
10038,114.0,inhibitory
14,114.10000000000001,excitatory
58,114.10000000000001,excitatory
10028,114.2,inhibitory
60,114.2,excitatory
10015,114.4,inhibitory
54,114.5,excitatory
10006,114.5,inhibitory
10011,114.8,inhibitory
10016,114.9,inhibitory
78,115.0,excitatory
99,115.10000000000001,excitatory
10098,115.10000000000001,inhibitory
10094,115.2,inhibitory
10042,115.4,inhibitory
31,115.5,excitatory
42,115.9,excitatory
34,116.0,excitatory
11,116.10000000000001,excitatory
61,116.5,excitatory
10026,116.5,inhibitory
69,116.8,excitatory
90,117.2,excitatory
93,117.3,excitatory
51,117.5,excitatory
75,117.5,excitatory
25,117.60000000000001,excitatory
10005,117.60000000000001,inhibitory
10062,117.7,inhibitory
18,118.10000000000001,excitatory
10086,118.10000000000001,inhibitory
96,118.3,excitatory
86,118.3,excitatory
10081,118.3,inhibitory
91,118.3,excitatory
10082,118.4,inhibitory
10003,118.60000000000001,inhibitory
20,118.60000000000001,excitatory
21,118.8,excitatory
10020,118.9,inhibitory
10017,119.0,inhibitory
10045,119.0,inhibitory
10074,119.10000000000001,inhibitory
85,119.2,excitatory
10022,119.5,inhibitory
10060,119.5,inhibitory
10007,119.60000000000001,inhibitory
77,119.60000000000001,excitatory
88,119.7,excitatory
10041,119.7,inhibitory
10055,119.8,inhibitory
43,119.9,excitatory
19,119.9,excitatory
10023,119.9,inhibitory
10066,119.9,inhibitory
72,119.9,excitatory
10031,120.0,inhibitory
53,120.0,excitatory
68,120.10000000000001,excitatory
1,120.60000000000001,excitatory
10100,121.10000000000001,inhibitory
10040,121.2,inhibitory
15,121.8,excitatory
76,122.0,excitatory
62,122.5,excitatory
10098,122.60000000000001,inhibitory
23,123.2,excitatory
66,123.5,excitatory
10053,123.7,inhibitory
10096,124.10000000000001,inhibitory
10090,124.5,inhibitory
41,124.60000000000001,excitatory
29,124.60000000000001,excitatory
8,124.7,excitatory
10075,124.7,inhibitory
99,124.9,excitatory
10057,125.0,inhibitory
10,125.2,excitatory
50,125.3,excitatory
73,125.3,excitatory
10033,125.4,inhibitory
10048,125.4,inhibitory
10002,125.4,inhibitory
10013,125.4,inhibitory
37,125.4,excitatory
58,126.10000000000001,excitatory
10008,126.10000000000001,inhibitory
92,126.10000000000001,excitatory
79,126.2,excitatory
10032,126.3,inhibitory
5,126.3,excitatory
10063,126.4,inhibitory
65,126.4,excitatory
39,126.4,excitatory
25,126.5,excitatory
57,126.5,excitatory
78,126.5,excitatory
44,126.5,excitatory
84,126.60000000000001,excitatory
85,126.60000000000001,excitatory
4,126.7,excitatory
49,126.8,excitatory
10038,126.8,inhibitory
59,126.8,excitatory
72,126.9,excitatory
9,126.9,excitatory
97,126.9,excitatory
47,127.0,excitatory
10009,127.3,inhibitory
10035,127.3,inhibitory
56,127.3,excitatory
10046,127.4,inhibitory
10047,127.4,inhibitory
40,127.5,excitatory
10064,127.60000000000001,inhibitory
10067,127.7,inhibitory
70,127.7,excitatory
10001,127.7,inhibitory
10066,127.7,inhibitory
22,127.8,excitatory
89,127.8,excitatory
10042,127.8,inhibitory
10071,127.9,inhibitory
10018,127.9,inhibitory
61,127.9,excitatory
98,128.1,excitatory
45,128.1,excitatory
26,128.2,excitatory
67,128.2,excitatory
42,128.2,excitatory
91,128.3,excitatory
10059,129.5,inhibitory
13,129.6,excitatory
75,130.1,excitatory
10068,130.2,inhibitory
10037,130.3,inhibitory
10055,131.0,inhibitory
76,132.2,excitatory
32,132.4,excitatory
10050,132.4,inhibitory
46,132.7,excitatory
64,132.7,excitatory
41,132.8,excitatory
27,133.4,excitatory
10012,133.4,inhibitory
33,133.5,excitatory
55,133.6,excitatory
10024,133.8,inhibitory
10051,133.9,inhibitory
10036,133.9,inhibitory
52,134.0,excitatory
10029,134.0,inhibitory
48,134.5,excitatory
10093,134.5,inhibitory
30,134.5,excitatory
81,134.6,excitatory
10065,134.7,inhibitory
94,134.8,excitatory
80,135.0,excitatory
12,135.2,excitatory
11,135.4,excitatory
82,135.4,excitatory
10069,135.5,inhibitory
10021,135.6,inhibitory
16,135.6,excitatory
10080,135.7,inhibitory
93,135.7,excitatory
96,135.8,excitatory
10100,135.8,inhibitory
35,135.8,excitatory
10074,136.0,inhibitory
10094,136.5,inhibitory
10053,136.5,inhibitory
10054,136.8,inhibitory
10082,136.8,inhibitory
10088,137.0,inhibitory
97,137.1,excitatory
10006,137.20000000000002,inhibitory
10019,137.20000000000002,inhibitory
7,137.20000000000002,excitatory
10095,137.3,inhibitory
10016,137.4,inhibitory
10058,137.5,inhibitory
10092,137.6,inhibitory
34,137.9,excitatory
60,138.5,excitatory
10073,138.5,inhibitory
10008,138.6,inhibitory
10031,138.6,inhibitory
56,138.70000000000002,excitatory
10020,138.9,inhibitory
38,139.1,excitatory
10043,139.3,inhibitory
10089,139.3,inhibitory
10023,139.4,inhibitory
100,139.4,excitatory
87,139.70000000000002,excitatory
10007,141.20000000000002,inhibitory
10075,141.70000000000002,inhibitory
10052,142.3,inhibitory
10061,142.4,inhibitory
24,142.5,excitatory
10079,143.1,inhibitory
47,143.1,excitatory
20,143.20000000000002,excitatory
63,143.20000000000002,excitatory
78,143.3,excitatory
68,143.3,excitatory
10022,143.3,inhibitory
77,143.4,excitatory
22,143.4,excitatory
10030,143.5,inhibitory
54,143.5,excitatory
71,143.6,excitatory
23,143.6,excitatory
10076,143.8,inhibitory
88,144.0,excitatory
95,144.1,excitatory
10085,144.20000000000002,inhibitory
10051,144.3,inhibitory
83,144.3,excitatory
10057,144.4,inhibitory
10025,144.5,inhibitory
10010,144.6,inhibitory
10027,144.6,inhibitory
10049,144.70000000000002,inhibitory
67,144.9,excitatory
10003,144.9,inhibitory
10042,145.1,inhibitory
17,145.3,excitatory
10,145.70000000000002,excitatory
2,145.8,excitatory
10071,145.8,inhibitory
10083,145.9,inhibitory
10024,146.0,inhibitory
10099,146.0,inhibitory
10086,146.0,inhibitory
86,146.1,excitatory
10013,146.1,inhibitory
19,146.1,excitatory
10014,146.5,inhibitory
14,146.6,excitatory
65,146.9,excitatory
10070,147.3,inhibitory
10045,147.3,inhibitory
28,147.5,excitatory
73,147.5,excitatory
10039,147.9,inhibitory
10048,147.9,inhibitory
37,148.0,excitatory
21,148.0,excitatory
10060,148.20000000000002,inhibitory
10040,148.3,inhibitory
66,148.3,excitatory
10001,148.3,inhibitory
70,148.3,excitatory
10008,148.5,inhibitory
35,148.6,excitatory
10062,148.6,inhibitory
64,148.6,excitatory
49,148.70000000000002,excitatory
74,148.70000000000002,excitatory
12,148.8,excitatory
10009,148.8,inhibitory
10068,148.9,inhibitory
10033,148.9,inhibitory
31,149.0,excitatory
10078,149.0,inhibitory
10064,149.0,inhibitory
3,149.0,excitatory
62,149.0,excitatory
50,149.1,excitatory
10017,149.20000000000002,inhibitory
89,149.20000000000002,excitatory
4,149.6,excitatory
10091,149.8,inhibitory
10089,149.9,inhibitory
10034,150.1,inhibitory
40,150.1,excitatory
99,150.1,excitatory
58,150.4,excitatory
10026,150.4,inhibitory
10084,150.6,inhibitory
44,150.6,excitatory
10041,150.6,inhibitory
57,151.3,excitatory
10036,151.5,inhibitory
10035,151.6,inhibitory
53,152.0,excitatory
69,152.3,excitatory
10056,152.6,inhibitory
10047,152.70000000000002,inhibitory
9,153.0,excitatory
10019,153.0,inhibitory
10065,153.6,inhibitory
10081,153.70000000000002,inhibitory
10005,153.8,inhibitory
10029,153.8,inhibitory
10044,154.1,inhibitory
10067,154.5,inhibitory
26,154.9,excitatory
10077,154.9,inhibitory
10066,155.0,inhibitory
10072,155.0,inhibitory
45,155.1,excitatory
63,155.1,excitatory
10083,155.4,inhibitory
13,155.4,excitatory
59,155.5,excitatory
10069,155.6,inhibitory
72,155.9,excitatory
36,156.0,excitatory
92,156.0,excitatory
43,156.1,excitatory
11,156.3,excitatory
20,156.3,excitatory
10046,156.3,inhibitory
30,156.3,excitatory
10092,156.3,inhibitory
10050,156.3,inhibitory
97,156.3,excitatory
76,156.4,excitatory
96,156.4,excitatory
10015,156.4,inhibitory
10016,156.4,inhibitory
42,156.5,excitatory
10017,156.5,inhibitory
10100,156.5,inhibitory
10098,156.6,inhibitory
6,156.6,excitatory
10038,156.9,inhibitory
10006,156.9,inhibitory
79,157.1,excitatory
10002,157.20000000000002,inhibitory
10094,157.20000000000002,inhibitory
83,157.5,excitatory
10052,157.9,inhibitory
27,158.1,excitatory
10063,158.20000000000002,inhibitory
8,158.5,excitatory
10028,159.0,inhibitory
10091,159.20000000000002,inhibitory
60,159.20000000000002,excitatory
48,159.5,excitatory
75,159.70000000000002,excitatory
10071,159.8,inhibitory
32,159.8,excitatory
10090,159.9,inhibitory
10076,160.3,inhibitory
31,160.3,excitatory
10084,160.70000000000002,inhibitory
10097,161.20000000000002,inhibitory
87,161.4,excitatory
90,161.4,excitatory
38,161.4,excitatory
10085,161.70000000000002,inhibitory
10088,161.9,inhibitory
47,162.0,excitatory
74,162.0,excitatory
94,162.4,excitatory
10080,162.70000000000002,inhibitory
10015,162.70000000000002,inhibitory
16,162.70000000000002,excitatory
10073,162.8,inhibitory
24,162.8,excitatory
51,162.8,excitatory
10025,162.9,inhibitory
1,162.9,excitatory
23,163.1,excitatory
10059,163.20000000000002,inhibitory
10023,163.20000000000002,inhibitory
26,163.3,excitatory
10074,163.4,inhibitory
10050,163.4,inhibitory
10017,163.6,inhibitory
5,163.70000000000002,excitatory
15,163.8,excitatory
28,163.8,excitatory
3,163.9,excitatory
10024,163.9,inhibitory
10087,164.0,inhibitory
83,164.1,excitatory
98,164.1,excitatory
82,164.1,excitatory
10061,164.20000000000002,inhibitory
21,164.20000000000002,excitatory
10100,164.3,inhibitory
79,164.3,excitatory
10044,164.5,inhibitory
10021,164.5,inhibitory
10082,164.6,inhibitory
10001,164.70000000000002,inhibitory
10011,164.70000000000002,inhibitory
10007,164.70000000000002,inhibitory
4,164.8,excitatory
55,164.8,excitatory
46,164.8,excitatory
10034,164.9,inhibitory
10064,164.9,inhibitory
10060,164.9,inhibitory
73,164.9,excitatory
10010,165.0,inhibitory
49,165.0,excitatory
10045,165.0,inhibitory
10096,165.0,inhibitory
10006,165.0,inhibitory
66,165.20000000000002,excitatory
29,165.3,excitatory
7,165.3,excitatory
89,165.5,excitatory
59,165.5,excitatory
10083,165.5,inhibitory
56,165.5,excitatory
95,165.70000000000002,excitatory
10078,165.70000000000002,inhibitory
10075,165.70000000000002,inhibitory
22,165.70000000000002,excitatory
96,165.70000000000002,excitatory
10035,166.3,inhibitory
70,166.3,excitatory
37,166.6,excitatory
10039,166.6,inhibitory
68,166.9,excitatory
17,166.9,excitatory
71,167.3,excitatory
58,167.6,excitatory
10036,168.3,inhibitory
10066,169.1,inhibitory
10004,170.1,inhibitory
10031,170.4,inhibitory
10089,170.4,inhibitory
30,170.5,excitatory
78,170.5,excitatory
10067,170.6,inhibitory
10033,170.70000000000002,inhibitory
10093,170.70000000000002,inhibitory
51,171.0,excitatory
97,171.5,excitatory
10,171.5,excitatory
10019,171.8,inhibitory
10023,171.8,inhibitory
41,172.0,excitatory
10027,172.1,inhibitory
18,172.1,excitatory
100,172.1,excitatory
10087,172.4,inhibitory
25,172.70000000000002,excitatory
